rank,gid,role,priority_score,why,cluster_id,role_score,rule_id
14,100000002398779100,coordinator,0.8796,"вход 1.1 млн KZT от 13 плательщиков; выход 66 тыс. KZT на 1 получателя; осело 1 млн KZT; 7 плательщиков в один день; сквозной транзит за 0 дн. (100% исходящих); дробление: 5 переводов от одного плательщика за день. Поднят по: объём потока (верхние 6%), число плательщиков (верхние 1%), позиция в сети",1,0.9,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
15,100000002838861100,consolidator,0.8791,"вход 555 тыс. KZT от 5 плательщиков (seed: 2); выход 10 тыс. KZT на 1 получателя; осело 545 тыс. KZT. Поднят по: объём потока (верхние 11%), число плательщиков (верхние 2%), позиция в сети (верхние 9%)",8,0.725,"R2.consolidator: in_deg >= 4 и (out_deg <= max(2, in_deg/2) или pass_through <= 0.5)"
16,100000006274203100,coordinator,0.8609,"вход 3.4 млн KZT от 2 плательщиков; выход 72 тыс. KZT на 3 получателей; осело 3.3 млн KZT; дробление: 4 перевода от одного плательщика за день. Поднят по: объём потока (верхние 1%), число плательщиков (верхние 14%), позиция в сети (верхние 12%)",16,0.8,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
17,100000007629096100,coordinator,0.8606,"вход 1.1 млн KZT от 4 плательщиков; выход 765 тыс. KZT на 1 получателя; осело 310 тыс. KZT; сквозной транзит за 1 дн. (93% исходящих). Поднят по: объём потока (верхние 6%), число плательщиков (верхние 3%), позиция в сети (верхние 11%)",5,0.9,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
18,100000004156082100,distributor,0.8505,"вход 377 тыс. KZT от 5 плательщиков (seed: 1); выход 2.3 млн KZT на 26 получателей; 1.9 млн KZT пришло вне выборки; сквозной транзит за 0 дн. (96% исходящих). Поднят по: объём потока (верхние 2%), число плательщиков (верхние 2%), позиция в сети (верхние 4%)",14,1.0,R1.distributor: out_deg >= 11
19,100000001072022100,coordinator,0.8494,"вход 1.7 млн KZT от 3 плательщиков (seed: 1); осело 1.7 млн KZT. Поднят по: объём потока (верхние 3%), число плательщиков (верхние 6%), роль в структуре (coordinator)",2,0.8,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
20,100000005473151100,terminal,0.8494,"вход 1.2 млн KZT от 3 плательщиков (seed: 1); выход 225 тыс. KZT на 4 получателей; осело 995 тыс. KZT; сквозной транзит за 0 дн. (91% исходящих). Поднят по: объём потока (верхние 5%), число плательщиков (верхние 6%), позиция в сети (верхние 14%)",8,0.816,R4b.terminal: дальше уходит не более 26% полученного — сумма осела
21,100000004759121100,coordinator,0.8471,"вход 710 тыс. KZT от 6 плательщиков (seed: 1); выход 312 тыс. KZT на 2 получателей; осело 398 тыс. KZT. Поднят по: объём потока (верхние 9%), число плательщиков (верхние 1%), позиция в сети (верхние 5%)",1,0.9,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
22,100000008560717100,consolidator,0.845,"вход 529 тыс. KZT от 7 плательщиков (seed: 1); выход 25 тыс. KZT на 1 получателя; осело 504 тыс. KZT. Поднят по: объём потока (верхние 11%), число плательщиков (верхние 1%), роль в структуре (consolidator)",6,0.975,"R2.consolidator: in_deg >= 4 и (out_deg <= max(2, in_deg/2) или pass_through <= 0.5)"
23,100000005514161100,consolidator,0.8384,"вход 402 тыс. KZT от 4 плательщиков (seed: 1); выход 50 тыс. KZT на 1 получателя; осело 352 тыс. KZT. Поднят по: объём потока (верхние 15%), число плательщиков (верхние 3%), позиция в сети (верхние 9%)",7,0.6,"R2.consolidator: in_deg >= 4 и (out_deg <= max(2, in_deg/2) или pass_through <= 0.5)"
24,100000004394765100,terminal,0.8355,"вход 604 тыс. KZT от 3 плательщиков (seed: 1); выход 82 тыс. KZT на 2 получателей; осело 521 тыс. KZT; дробление: 4 перевода от одного плательщика за день. Поднят по: объём потока (верхние 10%), число плательщиков (верхние 6%), позиция в сети (верхние 20%)",3,0.85,R4b.terminal: дальше уходит не более 26% полученного — сумма осела
25,100000002718366100,consolidator,0.8331,"вход 2.5 млн KZT от 6 плательщиков; осело 2.5 млн KZT; 3 плательщика в один день. Поднят по: объём потока (верхние 2%), число плательщиков (верхние 1%), поведение во времени (верхние 1%)",4,0.85,"R2.consolidator: in_deg >= 4 и (out_deg <= max(2, in_deg/2) или pass_through <= 0.5)"
26,100000004962193100,coordinator,0.833,"вход 900 тыс. KZT от 8 плательщиков; осело 900 тыс. KZT; 5 плательщиков в один день. Поднят по: объём потока (верхние 7%), число плательщиков (верхние 1%), роль в структуре (coordinator)",1,0.8,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
27,100000004135268100,transit,0.8327,"вход 1.2 млн KZT от 2 плательщиков (seed: 1); выход 1 млн KZT на 3 получателей; осело 239 тыс. KZT; пропуск 81%; сквозной транзит за 0 дн. (85% исходящих). Поднят по: объём потока (верхние 5%), число плательщиков (верхние 14%), позиция в сети (верхние 13%)",52,0.518,"R3a.transit: pass_through в [0.8, 1.2] — прошло почти всё полученное"
28,100000008603629100,coordinator,0.8241,"вход 1.8 млн KZT от 19 плательщиков; выход 5 млн KZT на 61 получателя; 3.2 млн KZT пришло вне выборки; 4 плательщика в один день; сквозной транзит за 0 дн. (99% исходящих); дробление: 3 перевода от одного плательщика за день. Поднят по: объём потока (верхние 1%), число плательщиков (верхние 1%), поз",5,0.9,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
29,100000002547110100,consolidator,0.8228,"вход 1.5 млн KZT от 6 плательщиков; осело 1.5 млн KZT; 5 плательщиков в один день. Поднят по: объём потока (верхние 4%), число плательщиков (верхние 1%), поведение во времени (верхние 1%)",4,0.85,"R2.consolidator: in_deg >= 4 и (out_deg <= max(2, in_deg/2) или pass_through <= 0.5)"
30,100000000437046100,coordinator,0.8209,"вход 1.1 млн KZT от 9 плательщиков; выход 7.6 млн KZT на 42 получателей; 6.5 млн KZT пришло вне выборки; 3 плательщика в один день; сквозной транзит за 0 дн. (87% исходящих). Поднят по: объём потока (верхние 1%), число плательщиков (верхние 1%), позиция в сети (верхние 4%)",1,0.9,"R6.coordinator: >= 2 плательщиков-сборщиков (in_deg >= 4) либо >= 2 seed-плательщиков, при in_kzt в топ-5% (614 тыс. KZT) и не seed"
