cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,n_coordinator,n_consolidator,n_distributor,n_transit,n_terminal,n_truncated,kzt_out_of_cluster,kzt_into_cluster,max_depth,center_x,center_y,radius,panel,angle_start,angle_end,r_inner,r_outer
12,51,0,13990812.0,100000001282143100 100000002956769100 100000002443664100 100000008512827100 100000002559089100,"нижних звеньев дела в кластере нет — участок ниже по потоку; точек консолидации: 1; веерных рассылок: 2; транзитных счетов: 6; узлов, где деньги остались: 35. внутренний оборот 14 млн KZT, наружу уходит 1.2 млн KZT; 11 узлов обрезаны 4-м коленом — картина неполна",0,1,2,6,35,11,1246800.0,1663545.0,4,0.15428,0.6264,0.11624,0,2.48198,2.6307,0.09662,0.31503
13,44,0,10215968.84,100000004159526100 100000002605308100 100000005933757100 100000004500444100 100000001073568100,"нижних звеньев дела в кластере нет — участок ниже по потоку; точек консолидации: 1; веерных рассылок: 1; транзитных счетов: 4; узлов, где деньги остались: 28. внутренний оборот 10.2 млн KZT, наружу уходит 527 тыс. KZT; 7 узлов обрезаны 4-м коленом — картина неполна",0,1,1,4,28,7,527149.0,243701.0,4,0.22861,0.31147,0.1328,0,4.0959,4.2242,0.09662,0.31503
14,41,3,4888834.28,100000004156082100 100000005339662100 100000008188026100 100000004816564100 100000004820260100,"сбор средств от 3 известных следствию клиентов; веерных рассылок: 1; транзитных счетов: 10; узлов, где деньги остались: 27. внутренний оборот 4.9 млн KZT, наружу уходит 316 тыс. KZT; 1 узлов обрезаны 4-м коленом — картина неполна",0,0,1,10,27,1,315760.0,254329.0,4,0.21536,0.388,0.1425,0,3.79285,3.9124,0.03989,0.31503
15,41,0,5151924.19,100000006225798100 100000008512552100 100000003242289100 100000008221543100 100000003964910100,"нижних звеньев дела в кластере нет — участок ниже по потоку; кандидатов над точками сбора: 1; веерных рассылок: 2; транзитных счетов: 2; узлов, где деньги остались: 20. внутренний оборот 5.2 млн KZT, наружу уходит 661 тыс. KZT; 9 узлов обрезаны 4-м коленом — картина неполна",1,0,2,2,20,9,661478.3,919297.0,4,0.35445,0.26302,0.12447,0,4.69069,4.81024,0.09662,0.31503
16,30,1,6513430.0,100000006274203100 100000008546855100 100000007594394100 100000003854444100 100000001049200100,"одна точка входа со стороны известного следствию клиента; кандидатов над точками сбора: 1; точек консолидации: 2; веерных рассылок: 1; транзитных счетов: 6; узлов, где деньги остались: 13. внутренний оборот 6.5 млн KZT, наружу уходит 147 тыс. KZT; 5 узлов обрезаны 4-м коленом — картина неполна",1,2,1,6,13,5,147115.0,436127.0,4,0.19844,0.34248,0.17907,0,3.91914,4.00662,0.03989,0.31503
17,29,0,446070.0,100000008460102100 100000004891562100 100000001164648100 100000002706810100 100000008715513100,"нижних звеньев дела в кластере нет — участок ниже по потоку; веерных рассылок: 1; узлов, где деньги остались: 26. внутренний оборот 446 тыс. KZT, наружу уходит 30 тыс. KZT; 27 узлов обрезаны 4-м коленом — картина неполна",0,0,1,0,26,27,30500.0,23900.0,4,0.39612,0.22312,0.16885,0,4.85614,4.9407,0.09662,0.31503
18,26,14,2289450.0,100000004403675100 100000005394708100 100000001471706100 100000004744306100 100000005382566100,"сбор средств от 14 известных следствию клиентов; точек консолидации: 1; транзитных счетов: 16; узлов, где деньги остались: 7. внутренний оборот 2.3 млн KZT, наружу уходит 101 тыс. KZT; 2 узлов обрезаны 4-м коленом — картина неполна",0,1,0,16,7,2,101495.0,203680.0,4,0.27139,0.40453,0.1784,0,4.01335,4.08916,0.03989,0.31503
19,25,0,5089597.0,100000005527892100 100000008343874100 100000008514970100 100000002459832100 100000002936322100,"нижних звеньев дела в кластере нет — участок ниже по потоку; веерных рассылок: 1; транзитных счетов: 5; узлов, где деньги остались: 13. внутренний оборот 5.1 млн KZT, наружу уходит 505 тыс. KZT; 6 узлов обрезаны 4-м коленом — картина неполна",0,0,1,5,13,6,505240.0,1109352.0,4,0.25345,0.71285,0.11896,0,1.94274,2.01564,0.09662,0.31503
20,25,0,7556605.0,100000001303311100 100000001887715100 100000007229557100 100000001141268100 100000008743913100,"нижних звеньев дела в кластере нет — участок ниже по потоку; точек консолидации: 1; веерных рассылок: 2; транзитных счетов: 5; узлов, где деньги остались: 13. внутренний оборот 7.6 млн KZT, наружу уходит 744 тыс. KZT; 3 узлов обрезаны 4-м коленом — картина неполна",0,1,2,5,13,3,743780.0,1134629.0,4,0.23682,0.70299,0.09302,0,2.02237,2.09527,0.15335,0.31503
21,20,0,617900.0,100000002448088100 100000003154105100 100000006308406100 100000001427082100 100000006257675100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 5. внутренний оборот 618 тыс. KZT, наружу уходит 0 KZT; 15 узлов обрезаны 4-м коленом — картина неполна",0,0,0,5,0,15,0.0,16800.0,4,0.41694,0.2392,0.10111,0,4.94744,5.00576,0.15335,0.31503
22,18,0,3422800.0,100000003701161100 100000008137435100 100000002267998100 100000003718221100 100000003104347100,"нижних звеньев дела в кластере нет — участок ниже по потоку; точек консолидации: 1; транзитных счетов: 5; узлов, где деньги остались: 10. внутренний оборот 3.4 млн KZT, наружу уходит 51 тыс. KZT; 2 узлов обрезаны 4-м коленом — картина неполна",0,1,0,5,10,2,51400.0,302009.0,4,0.40899,0.3093,0.12186,0,5.01249,5.06498,0.09662,0.31503
23,17,1,21586840.0,100000004603109100 100000004892144100 100000002224132100 100000000594783100 100000001965374100,"одна точка входа со стороны известного следствию клиента; транзитных счетов: 6; узлов, где деньги остались: 11. внутренний оборот 21.6 млн KZT, наружу уходит 0 KZT",0,0,0,6,11,0,0.0,17000.0,3,0.33482,0.31549,0.15293,0,4.63438,4.68395,0.03989,0.2583
24,17,1,2977887.0,100000002731501100 100000004144536100 100000004005964100 100000004160650100 100000003616818100,"одна точка входа со стороны известного следствию клиента; точек консолидации: 1; транзитных счетов: 6; узлов, где деньги остались: 8. внутренний оборот 3 млн KZT, наружу уходит 0 KZT; 1 узлов обрезаны 4-м коленом — картина неполна",0,1,0,6,8,1,0.0,0.0,4,0.70138,0.44388,0.03348,2,0.0,5.90619,0.0038,0.02998
25,15,0,850450.0,100000002472632100 100000005505655100 100000001526235100 100000001788284100 100000000860514100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 5; узлов, где деньги остались: 3. внутренний оборот 850 тыс. KZT, наружу уходит 0 KZT; 6 узлов обрезаны 4-м коленом — картина неполна",0,0,0,5,3,6,0.0,13070.0,4,0.43389,0.27799,0.15052,0,5.07171,5.11545,0.09662,0.31503
26,15,0,3626010.0,100000008461532100 100000000791285100 100000006704530100 100000003122817100 100000002691583100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 3; узлов, где деньги остались: 5. внутренний оборот 3.6 млн KZT, наружу уходит 0 KZT; 6 узлов обрезаны 4-м коленом — картина неполна",0,0,0,3,5,6,0.0,5300.0,4,0.44872,0.27545,0.10165,0,5.12218,5.16592,0.15335,0.31503
27,15,0,3436955.0,100000004221668100 100000003111305100 100000005171642100 100000002152857100 100000002459093100,"нижних звеньев дела в кластере нет — участок ниже по потоку; точек консолидации: 1; транзитных счетов: 7; узлов, где деньги остались: 4. внутренний оборот 3.4 млн KZT, наружу уходит 190 тыс. KZT; 3 узлов обрезаны 4-м коленом — картина неполна",0,1,0,7,4,3,190000.0,541373.0,4,0.2486,0.3044,0.129,0,4.23093,4.27467,0.09662,0.31503
28,14,0,1605604.0,100000008213966100 100000000838385100 100000007382543100 100000004407753100 100000003001661100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 3; узлов, где деньги остались: 2. внутренний оборот 1.6 млн KZT, наружу уходит 0 KZT; 6 узлов обрезаны 4-м коленом — картина неполна",0,0,0,3,2,6,0.0,31000.0,4,0.4593,0.28112,0.1018,0,5.17265,5.21348,0.15335,0.31503
29,13,1,1392916.0,100000001380054100 100000003164661100 100000000703894100 100000005077484100 100000001782980100,"одна точка входа со стороны известного следствию клиента; транзитных счетов: 5; узлов, где деньги остались: 7. внутренний оборот 1.4 млн KZT, наружу уходит 0 KZT",0,0,0,5,7,0,0.0,0.0,3,0.69936,0.37134,0.03212,3,0.0,5.90619,0.00265,0.02689
30,13,0,6748650.0,100000007442518100 100000008258083100 100000000673868100 100000000821507100 100000002911170100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 2; узлов, где деньги остались: 9. внутренний оборот 6.7 млн KZT, наружу уходит 100 тыс. KZT; 2 узлов обрезаны 4-м коленом — картина неполна",0,0,0,2,9,2,99999.0,395000.0,4,0.4493,0.3357,0.1284,0,5.25937,5.29728,0.09662,0.31503
31,11,0,3784703.0,100000003004487100 100000002175422100 100000003557488100 100000002975437100 100000005042822100,"нижних звеньев дела в кластере нет — участок ниже по потоку; точек консолидации: 1; транзитных счетов: 2; узлов, где деньги остались: 5. внутренний оборот 3.8 млн KZT, наружу уходит 0 KZT; 3 узлов обрезаны 4-м коленом — картина неполна",0,1,0,2,5,3,0.0,68702.8,4,0.47152,0.31814,0.13247,0,5.30401,5.33645,0.09662,0.31503
32,10,0,322010.0,100000008172352100 100000007322059100 100000000993112100 100000002691858100 100000002628146100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 2; узлов, где деньги остались: 5. внутренний оборот 322 тыс. KZT, наружу уходит 13 тыс. KZT; 1 узлов обрезаны 4-м коленом — картина неполна",0,0,0,2,5,1,12920.0,90265.0,4,0.4549,0.35515,0.11708,0,5.34318,5.37562,0.09662,0.31503
33,10,0,603900.0,100000003635170100 100000004209339100 100000002156381100 100000003321423100 100000002696152100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 5; узлов, где деньги остались: 2. внутренний оборот 604 тыс. KZT, наружу уходит 0 KZT; 2 узлов обрезаны 4-м коленом — картина неполна",0,0,0,5,2,2,0.0,25000.0,4,0.47426,0.34363,0.12015,0,5.38235,5.41478,0.09662,0.31503
34,10,0,1727065.0,100000004076740100 100000004017410100 100000004336312100 100000005519998100 100000005767403100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 5; узлов, где деньги остались: 2. внутренний оборот 1.7 млн KZT, наружу уходит 8 тыс. KZT; 2 узлов обрезаны 4-м коленом — картина неполна",0,0,0,5,2,2,8000.0,46250.0,4,0.44354,0.32744,0.1243,0,5.22021,5.25264,0.09662,0.31503
35,9,0,1406982.0,100000002217161100 100000001445848100 100000007647294100 100000002242066100 100000008254576100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 3; узлов, где деньги остались: 5. внутренний оборот 1.4 млн KZT, наружу уходит 0 KZT; 1 узлов обрезаны 4-м коленом — картина неполна",0,0,0,3,5,1,0.0,52900.0,4,0.49728,0.3292,0.08381,0,5.42152,5.45395,0.15335,0.31503
36,8,0,2473417.91,100000008175078100 100000004906181100 100000008675322100 100000000557536100 100000008349740100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 1. внутренний оборот 2.5 млн KZT, наружу уходит 0 KZT; 7 узлов обрезаны 4-м коленом — картина неполна",0,0,0,1,0,7,0.0,100000.0,4,0.53749,0.29972,0.07572,0,5.46068,5.49312,0.21008,0.31503
37,8,0,389000.0,100000005507142100 100000002612809100 100000001825934100 100000002214207100 100000000600707100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 4. внутренний оборот 389 тыс. KZT, наружу уходит 0 KZT; 4 узлов обрезаны 4-м коленом — картина неполна",0,0,0,4,0,4,0.0,23000.0,4,0.52473,0.32704,0.10401,0,5.49985,5.53228,0.15335,0.31503
38,7,0,143000.0,100000004508696100 100000005911352100 100000002217806100 100000004549591100 100000000507799100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 3; узлов, где деньги остались: 2. внутренний оборот 143 тыс. KZT, наружу уходит 0 KZT; 2 узлов обрезаны 4-м коленом — картина неполна",0,0,0,3,2,2,0.0,5132.0,4,0.50622,0.35664,0.12713,0,5.53902,5.57145,0.09662,0.31503
39,7,0,3077000.0,100000002594214100 100000001053894100 100000002241986100 100000004047887100 100000001286703100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 1; узлов, где деньги остались: 1. внутренний оборот 3.1 млн KZT, наружу уходит 0 KZT; 6 узлов обрезаны 4-м коленом — картина неполна",0,0,0,1,1,6,0.0,280000.0,4,0.56068,0.32246,0.07729,0,5.57818,5.61062,0.21008,0.31503
40,7,3,4442461.0,100000003404627100 100000008232832100 100000002681449100 100000001732159100 100000008637537100,"сбор средств от 3 известных следствию клиентов; точек консолидации: 1; транзитных счетов: 4; узлов, где деньги остались: 1. внутренний оборот 4.4 млн KZT, наружу уходит 13 тыс. KZT",0,1,0,4,1,0,13000.0,255338.0,1,0.41246,0.44878,0.05282,0,5.61735,5.64978,0.03989,0.14484
41,7,0,1765600.0,100000007865484100 100000008551752100 100000007392365100 100000003631015100 100000004976946100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 1. внутренний оборот 1.8 млн KZT, наружу уходит 0 KZT; 6 узлов обрезаны 4-м коленом — картина неполна",0,0,0,1,0,6,0.0,9613.0,4,0.57391,0.33988,0.07729,0,5.65652,5.68895,0.21008,0.31503
42,7,0,1268308.0,100000008011159100 100000006169033100 100000006232642100 100000003664994100 100000005754335100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 1; узлов, где деньги остались: 3. внутренний оборот 1.3 млн KZT, наружу уходит 25 тыс. KZT; 2 узлов обрезаны 4-м коленом — картина неполна",0,0,0,1,3,2,25000.0,17000.0,4,0.54295,0.37261,0.09004,0,5.69568,5.72812,0.15335,0.31503
43,6,1,1615030.0,100000008736940100 100000008751429100 100000005456919100 100000008193577100 100000008659445100,"одна точка входа со стороны известного следствию клиента; транзитных счетов: 2; узлов, где деньги остались: 3. внутренний оборот 1.6 млн KZT, наружу уходит 0 KZT",0,0,0,2,3,0,0.0,0.0,2,0.69013,0.30978,0.02147,4,0.0,5.90619,0.00095,0.02035
44,6,1,1527967.0,100000007939160100 100000005183943100 100000003888271100 100000000580561100 100000000955444100,"одна точка входа со стороны известного следствию клиента; транзитных счетов: 2; узлов, где деньги остались: 4. внутренний оборот 1.5 млн KZT, наружу уходит 0 KZT",0,0,0,2,4,0,0.0,0.0,2,0.69255,0.25405,0.02538,5,0.0,5.90619,0.00095,0.02035
45,6,0,2540000.0,100000004479404100 100000004717647100 100000002922000100 100000002659103100 100000001533161100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 1; узлов, где деньги остались: 1. внутренний оборот 2.5 млн KZT, наружу уходит 0 KZT; 4 узлов обрезаны 4-м коленом — картина неполна",0,0,0,1,1,4,0.0,12000.0,4,0.56433,0.37089,0.10913,0,5.73485,5.76728,0.15335,0.31503
46,6,1,275885.0,100000005895525100 100000002462183100 100000007175718100 100000005056870100 100000005807278100,"одна точка входа со стороны известного следствию клиента; транзитных счетов: 1; узлов, где деньги остались: 5. внутренний оборот 276 тыс. KZT, наружу уходит 0 KZT",0,0,0,1,5,0,0.0,0.0,1,0.95391,0.77378,0.02664,6,0.0,5.90619,-0.00195,0.02324
47,6,0,2534500.0,100000003747133100 100000005075949100 100000004722765100 100000006527156100 100000002578653100,"нижних звеньев дела в кластере нет — участок ниже по потоку; точек консолидации: 1; транзитных счетов: 1; узлов, где деньги остались: 1. внутренний оборот 2.5 млн KZT, наружу уходит 0 KZT; 3 узлов обрезаны 4-м коленом — картина неполна",0,1,0,1,1,3,0.0,237068.0,4,0.56097,0.3842,0.0997,0,5.77402,5.80645,0.15335,0.31503
48,6,0,720900.0,100000008761219100 100000006638021100 100000008333492100 100000007472293100 100000002794374100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 2. внутренний оборот 721 тыс. KZT, наружу уходит 0 KZT; 4 узлов обрезаны 4-м коленом — картина неполна",0,0,0,2,0,4,0.0,55000.0,4,0.58587,0.38254,0.06591,0,5.81318,5.84562,0.21008,0.31503
49,6,1,383300.0,100000005546031100 100000004331458100 100000004094958100 100000005363908100 100000005547096100,"одна точка входа со стороны известного следствию клиента; транзитных счетов: 4; узлов, где деньги остались: 2. внутренний оборот 383 тыс. KZT, наружу уходит 0 KZT",0,0,0,4,2,0,0.0,0.0,2,0.95394,0.7185,0.02538,7,0.0,5.90619,0.00095,0.02035
50,5,0,1189154.0,100000000291906100 100000000291908100 100000004670388100 100000004722630100 100000004691350100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 2; узлов, где деньги остались: 1. внутренний оборот 1.2 млн KZT, наружу уходит 0 KZT; 2 узлов обрезаны 4-м коленом — картина неполна",0,0,0,2,1,2,0.0,8000.0,4,0.56083,0.40481,0.09053,0,5.85235,5.88479,0.15335,0.31503
51,5,0,172000.0,100000004659919100 100000005031696100 100000002700161100 100000001223977100 100000008461217100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 2. внутренний оборот 172 тыс. KZT, наружу уходит 0 KZT; 2 узлов обрезаны 4-м коленом — картина неполна",0,0,0,2,0,2,0.0,5000.0,4,0.56447,0.41352,0.09051,0,5.89152,5.92395,0.15335,0.31503
52,5,1,2809200.0,100000004135268100 100000004979498100 100000007507343100 100000002738256100 100000008571433100,"одна точка входа со стороны известного следствию клиента; транзитных счетов: 3; узлов, где деньги остались: 1. внутренний оборот 2.8 млн KZT, наружу уходит 0 KZT",0,0,0,3,1,0,0.0,0.0,2,0.95371,0.66328,0.02548,8,0.0,5.90619,0.00095,0.02035
53,5,2,108007.0,100000006562026100 100000007347733100 100000008129393100 100000006249740100 100000006831291100,"сбор средств от 2 известных следствию клиентов; транзитных счетов: 2; узлов, где деньги остались: 3. внутренний оборот 108 тыс. KZT, наружу уходит 0 KZT",0,0,0,2,3,0,0.0,0.0,1,0.95459,0.60783,0.02584,9,0.0,5.90619,-0.00195,0.02324
54,4,0,518000.0,100000003163886100 100000002205022100 100000000629812100 100000001380107100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 1; узлов, где деньги остались: 3. внутренний оборот 518 тыс. KZT, наружу уходит 0 KZT",0,0,0,1,3,0,0.0,17100.0,3,0.52611,0.43698,0.05042,0,5.93068,5.96312,0.15335,0.2583
55,4,1,1404980.0,100000001872484100 100000000785800100 100000008601794100 100000002459163100,"одна точка входа со стороны известного следствию клиента; транзитных счетов: 2; узлов, где деньги остались: 1. внутренний оборот 1.4 млн KZT, наружу уходит 0 KZT",0,0,0,2,1,0,0.0,0.0,2,0.95113,0.55322,0.0256,10,0.0,5.90619,0.00095,0.02035
56,4,0,1595700.0,100000001131403100 100000001052945100 100000004616845100 100000005146665100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 1. внутренний оборот 1.6 млн KZT, наружу уходит 0 KZT; 3 узлов обрезаны 4-м коленом — картина неполна",0,0,0,1,0,3,0.0,56520.0,4,0.60385,0.42077,0.06863,0,5.96985,6.00229,0.21008,0.31503
57,4,0,832800.0,100000003159641100 100000008625905100 100000001065234100 100000002194320100,"нижних звеньев дела в кластере нет — участок ниже по потоку; точек консолидации: 1; транзитных счетов: 1. внутренний оборот 833 тыс. KZT, наружу уходит 0 KZT; 2 узлов обрезаны 4-м коленом — картина неполна",0,1,0,1,0,2,0.0,64000.0,4,0.37342,0.26543,0.09096,0,4.81697,4.84941,0.15335,0.31503
58,4,1,79050.0,100000003148220100 100000006888238100 100000001852140100 100000004971871100,"одна точка входа со стороны известного следствию клиента; транзитных счетов: 3; узлов, где деньги остались: 1. внутренний оборот 79 тыс. KZT, наружу уходит 0 KZT",0,0,0,3,1,0,0.0,0.0,3,0.94505,0.49911,0.0185,11,0.0,5.90619,0.00191,0.01938
59,4,0,332709.0,100000004610802100 100000002513028100 100000002516862100 100000004780083100,"нижних звеньев дела в кластере нет — участок ниже по потоку; транзитных счетов: 1. внутренний оборот 333 тыс. KZT, наружу уходит 0 KZT; 3 узлов обрезаны 4-м коленом — картина неполна",0,0,0,1,0,3,0.0,9500.0,4,0.60676,0.43096,0.06863,0,6.00902,6.04145,0.21008,0.31503
60,3,1,450000.0,100000002371751100 100000000769919100 100000007018630100,"изолированный фрагмент из 3 узлов, оборот 450 тыс. KZT — отдельная мелкая цепочка, связи с ядром сети не видно",0,0,0,2,1,0,0.0,0.0,2,0.94504,0.44383,0.015,12,0.0,5.90619,0.00095,0.02035
61,3,0,553830.0,100000003692843100 100000003321895100 100000002371892100,"изолированный фрагмент из 3 узлов, оборот 554 тыс. KZT — отдельная мелкая цепочка, связи с ядром сети не видно",0,0,0,1,0,2,0.0,24000.0,4,0.60268,0.44273,0.06189,0,6.04818,6.08062,0.21008,0.31503
62,3,1,390167.62,100000002781227100 100000002796853100 100000008522127100,"изолированный фрагмент из 3 узлов, оборот 390 тыс. KZT — отдельная мелкая цепочка, связи с ядром сети не видно",0,0,0,2,1,0,13420.0,0.0,2,0.44007,0.48276,0.06473,0,6.08735,6.11979,0.03989,0.20157
63,3,0,1557988.0,100000008619159100 100000004035925100 100000008258458100,"изолированный фрагмент из 3 узлов, оборот 1.6 млн KZT — отдельная мелкая цепочка, связи с ядром сети не видно",0,0,0,1,0,2,0.0,19000.0,4,0.60637,0.46307,0.06189,0,6.12652,6.15895,0.21008,0.31503
